0,7,11,0.06,0.04,0.06,0.07,0.18,10.49,9.79,10.37,9.44,10.56,10.8,9.57,8.65,9.3,9.14,1,0,1,0,0,1,0,1,1,0
0,7,11,0.1,0.08,0.07,0.18,0.14,10.75,10.05,8.52,9.26,11.59,10.44,10.05,8.18,9.72,11.84,1,0,1,0,1,0,1,0,0,1
0,7,11,0.13,0.06,0.14,0.1,0.12,10.46,9.65,10.15,8.27,9.73,11.63,9.11,10.95,8.71,8.33,1,0,1,0,1,0,1,0,1,0
0,7,11,0.16,0.11,0.04,0.13,0.19,11.92,9.31,8.03,8.97,11.29,11.27,8.5,11.73,8.21,11.17,1,0,1,0,1,0,1,0,1,1
0,7,11,0.18,0.15,0.05,0.06,0.12,8.48,10.81,9.92,10.96,8.74,10.37,9.64,9.73,9.94,11.54,1,0,1,0,1,0,1,0,1,1
0,7,11,0.19,0.09,0.16,0.16,0.15,9.78,11.8,9.43,10.96,8.06,11.16,11.88,11.1,9.47,11.65,1,0,1,1,0,0,1,0,1,1
0,7,11,0.11,0.1,0.11,0.14,0.19,9.74,8.02,11.8,11.49,8.23,9.39,8.02,10.35,8.34,8.29,1,0,0,1,0,1,0,1,0,1
0,7,11,0.17,0.19,0.11,0.04,0.16,8.04,10.98,9.84,8.18,10.9,10.05,10.64,10.76,8.62,9.61,0,1,0,1,0,1,0,1,1,0
0,7,11,0.05,0.12,0.19,0.18,0.06,8.49,8.81,8.8,10.03,8.53,8.72,8.01,10.97,10.53,8.44,0,1,0,1,0,0,1,1,0,0
0,7,11,0.19,0.1,0.07,0.13,0.06,8.37,9.13,11.15,10.04,10.16,9.54,9.36,9.9,9.33,8.91,1,1,0,1,0,1,0,1,0,0
0,7,11,0.16,0.16,0.14,0.12,0.17,11.63,11.73,10.51,8.73,9.05,8.06,8.35,11.17,11.15,9.36,0,1,0,1,1,0,0,1,1,0
0,7,11,0.06,0.19,0.15,0.07,0.17,10.5,11.43,10.99,8.1,9.55,9.21,10.43,8.94,10.51,11.31,0,0,1,0,1,0,1,0,1,1
0,7,11,0.11,0.07,0.13,0.15,0.13,10.19,10.9,8.9,8.56,11.34,9.45,10.0,9.42,8.61,9.62,1,0,1,0,1,0,1,0,1,0
